2026-08-15T14:28:14.477318748Z [inf]  [index.js] Alerta de fútbol detectada para IFK Skövde vs Herrestads. Consultando datos adicionales en paralelo para la IA...
2026-08-15T14:28:14.477321582Z [inf]  [index.js] Solicitando predicción de IA para partido: IFK Skövde vs Herrestads
2026-08-15T14:28:14.477325222Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-flash-latest' usando clave de índice 0
2026-08-15T14:28:14.477328073Z [inf]  [AI-Service] Intentando generar contenido con DeepSeek usando modelo 'deepseek-chat'
2026-08-15T14:28:14.477330900Z [inf]  [Consensus Filter] ⚠️ Gemini descartado por Doble Oportunidad (Doble Oportunidad: IFK Skövde o Empate (1X)) para IFK Skövde vs Herrestads. Usando fallback de DeepSeek: Siguiente Gol de IFK Skövde.
2026-08-15T14:28:14.477333587Z [inf]  [Consensus Filter] ⛔ Alerta abortada para IFK Skövde vs Herrestads (Regla: Sorpresa Tempranera). Motivo: Gemini baja confianza (74% < 75%).
2026-08-15T14:28:44.478057648Z [inf]  [2:28:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:28:44.478063418Z [inf]  [SafeOdds] Descargados momios en vivo para 66 partidos.
2026-08-15T14:29:14.472452093Z [inf]  [2:29:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:29:14.472455124Z [inf]  [SafeOdds] Descargados momios en vivo para 88 partidos.
2026-08-15T14:29:44.609369148Z [inf]  [2:29:35 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:29:44.609373520Z [inf]  [SafeOdds] Descargados momios en vivo para 79 partidos.
2026-08-15T14:29:44.609377806Z [inf]  [index.js] Alerta de fútbol detectada para Häcken II W vs Linköping W. Consultando datos adicionales en paralelo para la IA...
2026-08-15T14:29:44.609385276Z [inf]  [index.js] Solicitando predicción de IA para partido: Häcken II W vs Linköping W
2026-08-15T14:29:44.609389672Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-flash-latest' usando clave de índice 0
2026-08-15T14:29:44.609395373Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 1
2026-08-15T14:29:44.609399498Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-flash-latest' usando clave de índice 1
2026-08-15T14:29:44.609403704Z [err]  [AI-Service] Intento fallido con modelo 'gemini-flash-latest' e índice de clave 0: Request failed with status code 503
2026-08-15T14:29:44.759631987Z [err]  [AI-Service] Intento fallido con modelo 'gemini-flash-latest' e índice de clave 1: Request failed with status code 503
2026-08-15T14:29:44.759639766Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 0
2026-08-15T14:29:44.759643697Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-2.5-flash' usando clave de índice 0
2026-08-15T14:29:44.862381937Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 1
2026-08-15T14:29:44.862390573Z [inf]  [AI-Service] Intentando generar contenido con modelo 'gemini-2.5-flash' usando clave de índice 1
2026-08-15T14:29:44.862394577Z [err]  [AI-Service] Intento fallido con modelo 'gemini-2.5-flash' e índice de clave 0: Request failed with status code 404
2026-08-15T14:29:44.954878278Z [err]  [AI-Service] Intento fallido con modelo 'gemini-2.5-flash' e índice de clave 1: Request failed with status code 404
2026-08-15T14:29:44.954882596Z [inf]  [AI-Service] Rotando clave API de Gemini al índice: 0
2026-08-15T14:29:44.954885804Z [err]  [AI-Service] Error crítico generando recomendación con IA: Todas las claves API de Gemini y modelos de fallback fallaron.. Utilizando fallback estático.
2026-08-15T14:30:04.964764750Z [inf]  [2:30:00 PM] Ejecutando Parlay del Día (8:30 AM)...
2026-08-15T14:30:04.964769210Z [inf]  [Parlay 8:30 AM] Encontrados 50 partidos futuros. Procesando momios y estadísticas...
2026-08-15T14:30:05.997887749Z [inf]  [2:30:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:30:07.744568990Z [inf]  [SafeOdds] Descargados momios en vivo para 29 partidos.
